codigoNacional;idEquipo;idPista;momento;ts;td;tMin12Horas;tMax12Horas;tMin24Horas;tMax24Horas;horaTMin12Horas;horaTMax12Horas;horaTMin24Horas;horaTMax24Horas;ts02;ts10;ts30;momentoRegistro;tsMed15m;tsMax15m;tsMin15m;tsSupMax15m;tsSupMed15m;tsSupMin15m;tMin1M;tMax1M
330075;0;;2023-03-01 00:00:00;23.9;7.4;;;;;;;;;;;;2023-03-01 00:20:14;;24.6;23.9;;;;;
330075;0;;2023-03-01 00:20:00;22.5;6.1;;;;;;;;;;;;2023-03-01 01:45:01;;24.1;22.2;;;;;
330075;0;;2023-03-01 00:40:00;21.1;5.8;;;;;;;;;;;;2023-03-01 01:45:01;;22.6;20.9;;;;;
330075;0;;2023-03-01 01:00:00;20.5;5.3;;;;;;;;;;;;2023-03-01 01:45:01;;21.6;20.5;;;;;
330075;0;;2023-03-01 01:20:00;19.9;5.2;;;;;;;;;;;;2023-03-01 02:35:14;;20.7;19.8;;;;;
330075;0;;2023-03-01 01:40:00;19.3;5.1;;;;;;;;;;;;2023-03-01 02:35:14;;20.0;19.2;;;;;
330075;0;;2023-03-01 02:00:00;19.4;5.1;;;;;;;;;;;;2023-03-01 02:35:14;;20.0;19.2;;;;;
330075;0;;2023-03-01 02:20:00;18.6;4.9;;;;;;;;;;;;2023-03-01 03:20:15;;19.7;18.6;;;;;
330075;0;;2023-03-01 02:40:00;18.2;4.9;;;;;;;;;;;;2023-03-01 03:20:15;;18.8;18.1;;;;;
330075;0;;2023-03-01 03:00:00;17.9;4.9;;;;;;;;;;;;2023-03-01 03:20:15;;18.4;17.7;;;;;
330075;0;;2023-03-01 03:20:00;17.6;4.6;;;;;;;;;;;;2023-03-01 04:20:14;;18.3;17.6;;;;;
330075;0;;2023-03-01 03:40:00;17.4;4.8;;;;;;;;;;;;2023-03-01 04:20:14;;17.8;17.1;;;;;
330075;0;;2023-03-01 04:00:00;17.1;4.6;;;;;;;;;;;;2023-03-01 04:20:14;;17.4;16.9;;;;;
330075;0;;2023-03-01 04:20:00;16.8;4.4;;;;;;;;;;;;2023-03-01 05:45:02;;17.2;16.7;;;;;
330075;0;;2023-03-01 04:40:00;16.8;4.1;;;;;;;;;;;;2023-03-01 05:45:02;;17.2;16.6;;;;;
330075;0;;2023-03-01 05:00:00;16.4;3.9;;;;;;;;;;;;2023-03-01 05:45:02;;17.0;16.4;;;;;
330075;0;;2023-03-01 05:20:00;16.1;3.9;;;;;;;;;;;;2023-03-01 06:20:15;;16.7;16.0;;;;;
330075;0;;2023-03-01 05:40:00;15.7;3.7;;;;;;;;;;;;2023-03-01 06:20:15;;16.2;15.4;;;;;
330075;0;;2023-03-01 06:00:00;15.4;3.2;;;;;;;;;;;;2023-03-01 06:20:15;;15.6;15.2;;;;;
330075;0;;2023-03-01 06:20:00;15.6;2.9;;;;;;;;;;;;2023-03-01 07:20:16;;15.9;15.3;;;;;
330075;0;;2023-03-01 06:40:00;15.1;3.1;;;;;;;;;;;;2023-03-01 07:20:16;;15.9;14.9;;;;;
330075;0;;2023-03-01 07:00:00;15.4;3.1;;;;;;;;;;;;2023-03-01 07:20:16;;15.7;14.8;;;;;
330075;0;;2023-03-01 07:20:00;15.3;3.1;;;;;;;;;;;;2023-03-01 08:45:03;;16.1;15.2;;;;;
330075;0;;2023-03-01 07:40:00;15.1;2.9;;;;;;;;;;;;2023-03-01 08:45:03;;15.4;14.9;;;;;
330075;0;;2023-03-01 08:00:00;14.8;2.9;;;;;;;;;;;;2023-03-01 08:45:03;;15.3;14.8;;;;;
330075;0;;2023-03-01 08:20:00;15.1;2.8;;;;;;;;;;;;2023-03-01 09:20:15;;15.2;14.8;;;;;
330075;0;;2023-03-01 08:40:00;14.9;2.6;;;;;;;;;;;;2023-03-01 09:20:15;;15.1;14.6;;;;;
330075;0;;2023-03-01 09:00:00;15.1;2.6;;;;;;;;;;;;2023-03-01 09:20:15;;15.1;14.7;;;;;
330075;0;;2023-03-01 09:20:00;15.1;2.2;;;;;;;;;;;;2023-03-01 10:20:20;;15.3;14.9;;;;;
330075;0;;2023-03-01 09:40:00;15.7;2.0;;;;;;;;;;;;2023-03-01 10:20:20;;15.8;15.0;;;;;
330075;0;;2023-03-01 10:00:00;15.6;2.0;;;;;;;;;;;;2023-03-01 10:20:20;;15.9;15.4;;;;;
330075;0;;2023-03-01 10:20:00;15.0;2.0;;;;;;;;;;;;2023-03-01 11:20:20;;15.7;14.9;;;;;
330075;0;;2023-03-01 10:40:00;14.2;1.9;;;;;;;;;;;;2023-03-01 11:20:20;;15.1;14.2;;;;;
330075;0;;2023-03-01 11:00:00;14.3;1.6;;;;;;;;;;;;2023-03-01 11:20:20;;14.6;14.1;;;;;
330075;0;;2023-03-01 11:20:00;14.2;1.7;;;;;;;;;;;;2023-03-01 12:50:17;;14.9;14.1;;;;;
330075;0;;2023-03-01 11:40:00;15.5;1.9;;;;;;;;;;;;2023-03-01 12:50:17;;15.5;14.1;;;;;
330075;0;;2023-03-01 12:00:00;17.4;2.5;;;;;;;;;;;;2023-03-01 12:50:17;;17.4;15.4;;;;;
330075;0;;2023-03-01 12:20:00;19.6;2.5;;;;;;;;;;;;2023-03-01 13:20:17;;19.6;17.3;;;;;
330075;0;;2023-03-01 12:40:00;22.1;2.8;;;;;;;;;;;;2023-03-01 13:20:17;;22.1;19.5;;;;;
330075;0;;2023-03-01 13:00:00;24.0;6.3;;;;;;;;;;;;2023-03-01 13:20:17;;24.2;21.9;;;;;
330075;0;;2023-03-01 13:20:00;24.7;6.7;;;;;;;;;;;;2023-03-01 14:20:20;;24.8;23.9;;;;;
330075;0;;2023-03-01 13:40:00;25.9;6.7;;;;;;;;;;;;2023-03-01 14:20:20;;26.2;24.8;;;;;
330075;0;;2023-03-01 14:00:00;26.9;7.4;;;;;;;;;;;;2023-03-01 14:20:20;;27.0;25.7;;;;;
330075;0;;2023-03-01 14:20:00;27.3;6.9;;;;;;;;;;;;2023-03-01 15:20:17;;27.8;26.5;;;;;
330075;0;;2023-03-01 14:40:00;28.2;7.6;;;;;;;;;;;;2023-03-01 15:20:17;;28.2;27.2;;;;;
330075;0;;2023-03-01 15:00:00;28.9;7.8;;;;;;;;;;;;2023-03-01 15:20:17;;29.0;28.1;;;;;
330075;0;;2023-03-01 15:20:00;29.3;7.7;;;;;;;;;;;;2023-03-01 16:20:16;;30.0;28.6;;;;;
330075;0;;2023-03-01 15:40:00;29.9;7.8;;;;;;;;;;;;2023-03-01 16:20:16;;29.9;29.1;;;;;
330075;0;;2023-03-01 16:00:00;29.5;7.7;;;;;;;;;;;;2023-03-01 16:20:16;;30.2;29.1;;;;;
330075;0;;2023-03-01 16:20:00;30.4;8.5;;;;;;;;;;;;2023-03-01 17:20:18;;30.9;29.5;;;;;
330075;0;;2023-03-01 16:40:00;30.5;8.0;;;;;;;;;;;;2023-03-01 17:20:18;;31.6;30.2;;;;;
330075;0;;2023-03-01 17:00:00;31.7;8.3;;;;;;;;;;;;2023-03-01 17:20:18;;32.2;30.5;;;;;
330075;0;;2023-03-01 17:20:00;31.9;7.4;;;;;;;;;;;;2023-03-01 18:20:19;;32.3;31.4;;;;;
330075;0;;2023-03-01 17:40:00;32.2;8.0;;;;;;;;;;;;2023-03-01 18:20:19;;32.9;31.8;;;;;
330075;0;;2023-03-01 18:00:00;32.4;7.1;;;;;;;;;;;;2023-03-01 18:20:19;;32.9;31.7;;;;;
330075;0;;2023-03-01 18:20:00;32.3;7.8;;;;;;;;;;;;2023-03-01 19:45:02;;32.7;31.5;;;;;
330075;0;;2023-03-01 18:40:00;32.9;7.7;;;;;;;;;;;;2023-03-01 19:45:02;;32.9;32.0;;;;;
330075;0;;2023-03-01 19:00:00;32.6;7.1;;;;;;;;;;;;2023-03-01 19:45:02;;33.2;32.3;;;;;
330075;0;;2023-03-01 19:20:00;32.5;6.3;;;;;;;;;;;;2023-03-01 20:45:02;;33.0;32.2;;;;;
330075;0;;2023-03-01 19:40:00;32.8;6.6;;;;;;;;;;;;2023-03-01 20:45:02;;32.8;32.2;;;;;
330075;0;;2023-03-01 20:00:00;32.5;4.9;;;;;;;;;;;;2023-03-01 20:45:02;;32.9;32.2;;;;;
330075;0;;2023-03-01 20:20:00;32.6;4.5;;;;;;;;;;;;2023-03-01 21:20:22;;33.1;32.4;;;;;
330075;0;;2023-03-01 20:40:00;31.0;4.2;;;;;;;;;;;;2023-03-01 21:20:22;;33.1;31.0;;;;;
330075;0;;2023-03-01 21:00:00;30.3;5.8;;;;;;;;;;;;2023-03-01 21:20:22;;31.2;30.3;;;;;
330075;0;;2023-03-01 21:20:00;29.4;9.4;;;;;;;;;;;;2023-03-01 22:20:23;;30.7;29.4;;;;;
330075;0;;2023-03-01 21:40:00;28.9;8.9;;;;;;;;;;;;2023-03-01 22:20:23;;29.5;28.8;;;;;
